Start Time,Vessel Name,Total Power Consumption (MW),Power Galley 1 (MW),Power Galley 2 (MW),Power Service (MW),HVAC Chiller 1 Power (MW),HVAC Chiller 2 Power (MW),HVAC Chiller 3 Power (MW),Scrubber Power (MW),Propulsion Power (MW),Port Side Propulsion Power (MW),Starboard Side Propulsion Power (MW),Bow Thruster 1 Power (MW),Bow Thruster 2 Power (MW),Bow Thruster 3 Power (MW),Stern Thruster 1 Power (MW),Stern Thruster 2 Power (MW)
2023-01-01 00:00:00,Vessel 1,129.5039,0.9178,2.1318,65.5116,6.1169,0.0,5.7223999999999995,5.0336,22.0348,10.431,11.604,0.0,0.0,0.0,0.0,0.0
2023-01-01 00:00:00,Vessel 2,123.04300000000002,0.0574,0.5437,62.2495,0.0,0.0,6.4462,3.2378,23.2793,11.8268,11.4523,0.0,0.0,0.0,0.0,3.95
2023-01-01 01:00:00,Vessel 1,124.259,0.7652,1.5098,63.6584,6.1402,0.0,5.0502,5.028,21.0538,10.4029,10.6505,0.0,0.0,0.0,0.0,0.0
2023-01-01 01:00:00,Vessel 2,108.321,0.0474,0.5353,56.7401,0.0,0.0,7.133,3.4274,20.2186,10.3937,9.8255,0.0,0.0,0.0,0.0,0.0
2023-01-01 02:00:00,Vessel 1,121.19829999999999,0.41800000000000004,1.3287,61.647800000000004,6.149,0.0,4.617,5.0178,21.009900000000002,10.4904,10.5197,0.0,0.0,0.0,0.0,0.0
2023-01-01 02:00:00,Vessel 2,90.6989,0.1515,0.24080000000000001,54.820299999999996,0.0,0.0,7.2094,2.661,12.8079,6.6211,6.1869,0.0,0.0,0.0,0.0,0.0
2023-01-01 03:00:00,Vessel 1,111.56730000000002,0.2549,1.0067,59.8356,6.1748,0.0,4.6562,5.0085,17.3153,8.7133,8.602,0.0,0.0,0.0,0.0,0.0
2023-01-01 03:00:00,Vessel 2,109.962,0.0049,0.278,69.5532,0.0,0.0,6.2003,3.8297999999999996,8.947000000000001,4.6202,4.3268,0.0,4.3031999999999995,3.7885,1.9947,2.1154
2023-01-01 04:00:00,Vessel 1,112.44409999999998,0.39080000000000004,0.6614,58.4277,6.13,0.0,4.4463,4.0568,19.165300000000002,9.4369,9.7289,0.0,0.0,0.0,0.0,0.0
2023-01-01 04:00:00,Vessel 2,66.67420000000001,0.1242,0.6481,52.6211,0.0,0.0,6.4025,2.3429,0.48,0.24,0.24,0.0,0.8616,0.7753,0.9442999999999999,0.9942
2023-01-01 05:00:00,Vessel 1,387.9182,2.4943999999999997,3.0897,63.089,6.1785,0.0,4.1365,3.9706,152.4796,75.4923,76.9876,0.0,0.0,0.0,0.0,0.0
2023-01-01 05:00:00,Vessel 2,56.6127,0.1844,0.7832,46.2175,0.0,0.0,6.6027,1.8649,0.48,0.24,0.24,0.0,0.0,0.0,0.0,0.0
2023-01-01 06:00:00,Vessel 1,391.7329,0.0158,0.4696,63.805,6.1851,0.0,4.4264,4.0204,156.1069,75.542,80.5648,0.0,0.5969,0.0,0.0,0.0
2023-01-01 06:00:00,Vessel 2,57.786100000000005,0.1456,0.8041,47.3684,0.0,0.0,6.6428,1.8652,0.48,0.24,0.24,0.0,0.0,0.0,0.0,0.0
2023-01-01 07:00:00,Vessel 1,116.15539999999999,0.0246,0.5849,71.875,6.1119,0.0,4.3448,3.6846,10.4964,5.0634,5.4331000000000005,0.0,4.7845,0.0,2.1471,1.6051
2023-01-01 07:00:00,Vessel 2,59.1826,0.3417,0.2859,48.9701,0.0,0.0,6.7523,1.8726,0.48,0.24,0.24,0.0,0.0,0.0,0.0,0.0
