Start Time,Vessel Name,Total Main Engine Fuel Flow (kg/h),Main Engine 1 Fuel Flow Rate (kg/h),Main Engine 2 Fuel Flow Rate (kg/h),Main Engine 3 Fuel Flow Rate (kg/h),Main Engine 4 Fuel Flow Rate (kg/h)
2023-01-01 00:00:00,Vessel 1,19710.79998,0.0,0.0,0.0,19710.79998
2023-01-01 00:00:00,Vessel 2,19699.23197,15273.69299,15.612,0.0,4409.92698
2023-01-01 01:00:00,Vessel 1,19225.19,0.0,0.0,0.0,19225.19
2023-01-01 01:00:00,Vessel 2,17689.88851,7190.68901,400.7585,0.0,10098.441
2023-01-01 02:00:00,Vessel 1,18839.03001,0.0,0.0,0.0,18839.03001
2023-01-01 02:00:00,Vessel 2,15438.91621,0.0,92.06620000000001,0.0,15346.85001
2023-01-01 03:00:00,Vessel 1,17712.27997,0.0,0.0,0.0,17712.27997
2023-01-01 03:00:00,Vessel 2,19954.50694,7776.62801,109.1445,7555.3850299999995,4513.3494
2023-01-01 04:00:00,Vessel 1,17848.908040000002,185.269,0.0,0.0,17663.639040000002
2023-01-01 04:00:00,Vessel 2,12888.9447,1762.1406,116.4546,1424.5309900000002,9585.81851
2023-01-01 05:00:00,Vessel 1,44475.27978,22499.60501,0.0,19615.80478,2359.86999
2023-01-01 05:00:00,Vessel 2,10864.0739,0.0,23.029899999999998,0.0,10841.044
2023-01-01 06:00:00,Vessel 1,45302.577999999994,22820.69807,0.0,22481.87993,0.0
2023-01-01 06:00:00,Vessel 2,11241.80101,0.0,114.473,0.0,11127.32801
2023-01-01 07:00:00,Vessel 1,22384.02802,9116.742030000001,0.0,7196.34599,6070.9400000000005
2023-01-01 07:00:00,Vessel 2,11559.85549,0.0,106.9465,0.0,11452.90899
2023-01-01 08:00:00,Vessel 1,13022.606020000001,1280.7,0.0,0.0,11741.90602
2023-01-01 08:00:00,Vessel 2,12185.21794,0.0,74.6309,0.0,12110.58704
2023-01-01 09:00:00,Vessel 1,12363.56002,0.0,0.0,0.0,12363.56002
2023-01-01 09:00:00,Vessel 2,12886.47182,0.0,88.2908,0.0,12798.18102
2023-01-01 10:00:00,Vessel 1,12697.83998,0.0,0.0,0.0,12697.83998
2023-01-01 10:00:00,Vessel 2,12717.05204,0.0,60.091,0.0,12656.96104
2023-01-01 11:00:00,Vessel 1,12784.18,0.0,0.0,0.0,12784.18
2023-01-01 11:00:00,Vessel 2,12824.01851,0.0,85.5086,0.0,12738.50991
2023-01-01 12:00:00,Vessel 1,13227.88999,0.0,0.0,0.0,13227.88999
2023-01-01 12:00:00,Vessel 2,12525.37636,0.0,39.7744,0.0,12485.60196
2023-01-01 13:00:00,Vessel 1,13443.75001,0.0,0.0,0.0,13443.75001
2023-01-01 13:00:00,Vessel 2,12674.72293,0.0,149.0849,0.0,12525.63803
2023-01-01 14:00:00,Vessel 1,13598.70999,0.0,0.0,0.0,13598.70999
2023-01-01 14:00:00,Vessel 2,12444.4428,0.0,94.26079999999999,0.0,12350.182
2023-01-01 15:00:00,Vessel 1,13544.12005,0.0,0.0,0.0,13544.12005
2023-01-01 15:00:00,Vessel 2,12244.3846,0.0,85.9306,0.0,12158.454
2023-01-01 16:00:00,Vessel 1,13683.81002,0.0,0.0,0.0,13683.81002
2023-01-01 16:00:00,Vessel 2,12795.645799999998,0.0,16.0978,0.0,12779.547999999999
2023-01-01 17:00:00,Vessel 1,13773.56998,0.0,0.0,0.0,13773.56998
2023-01-01 17:00:00,Vessel 2,12543.23493,0.0,55.219899999999996,0.0,12488.01503
2023-01-01 18:00:00,Vessel 1,13700.460009999999,0.0,0.0,0.0,13700.460009999999
2023-01-01 18:00:00,Vessel 2,12627.66417,0.0,101.4512,0.0,12526.21297
2023-01-01 19:00:00,Vessel 1,13468.47998,0.0,0.0,0.0,13468.47998
2023-01-01 19:00:00,Vessel 2,13184.60481,0.0,72.7918,0.0,13111.81301
2023-01-01 20:00:00,Vessel 1,14654.592370000002,1222.7874100000001,0.0,0.0,13431.804960000001
2023-01-01 20:00:00,Vessel 2,13490.48913,0.0,57.6144,863.5169999999999,12569.35773
2023-01-01 21:00:00,Vessel 1,16404.81195,2266.58998,0.0,1598.96701,12539.25496
2023-01-01 21:00:00,Vessel 2,13117.03333,0.0,59.6753,0.0,13057.35803
2023-01-01 22:00:00,Vessel 1,32769.82636,10449.35301,5267.4183,4409.32301,12643.73204
2023-01-01 22:00:00,Vessel 2,18512.010970000003,5997.99041,98.34,5939.63399,6476.04657
2023-01-01 23:00:00,Vessel 1,38433.21002,0.0,18467.63,0.0,19965.58002
2023-01-01 23:00:00,Vessel 2,22554.0389,20286.71999,0.0,1247.3020099999999,1020.0169
2023-01-02 00:00:00,Vessel 1,38483.700020000004,0.0,18493.35999,0.0,19990.34003
2023-01-02 00:00:00,Vessel 2,23225.53002,23225.53002,0.0,0.0,0.0
2023-01-02 01:00:00,Vessel 1,38148.35001,0.0,18333.85996,0.0,19814.49005
2023-01-02 01:00:00,Vessel 2,23243.18221,15803.55704,41.6493,7397.97587,0.0
2023-01-02 02:00:00,Vessel 1,38248.23006,0.0,18342.93003,0.0,19905.30003
2023-01-02 02:00:00,Vessel 2,21755.1932,0.0,70.4032,21684.79,0.0
2023-01-02 03:00:00,Vessel 1,38170.99005,0.0,18353.23003,0.0,19817.76002
2023-01-02 03:00:00,Vessel 2,35068.993910000005,3586.09641,87.2646,20163.43591,11232.19699
2023-01-02 04:00:00,Vessel 1,38183.22002,0.0,18186.29999,0.0,19996.92003
